sno,time,tv_count,tp_count,target_circle
0,00:00.0,5,3,___
,,,,
100,00:00.0,5,2,___
,,,,
101,00:00.1,5,2,___
,,,,
102,00:00.1,5,2,___
,,,,
103,00:00.1,5,2,___
,,,,
105,00:00.1,5,2,___
,,,,
106,00:00.3,4,2,on/off road
,,,,
107,00:00.3,4,2,on/off road
,,,,
108,00:00.4,4,2,on/off road
,,,,
109,00:00.4,4,3,on/off road
,,,,
110,00:00.4,4,3,on/off road
,,,,
112,00:00.5,4,3,on/off road
,,,,
113,00:00.5,4,3,on/off road
,,,,
115,00:00.5,4,2,on/off road
,,,,
117,00:00.5,4,2,on/off road
,,,,
118,00:00.5,4,2,on/off road
,,,,
119,00:00.6,4,2,on/off road
,,,,
120,00:00.6,4,2,on/off road
,,,,
122,00:00.6,2,2,person
,,,,
124,00:00.7,2,2,person
,,,,
125,00:00.7,2,2,person
,,,,
127,00:00.7,2,2,person
,,,,
129,00:00.8,3,3,on/off road
,,,,
130,00:00.8,3,3,on/off road
,,,,
131,00:00.8,4,2,on/off road
,,,,
132,00:00.8,4,2,on/off road
,,,,
134,00:00.8,4,2,on/off road
,,,,
136,00:00.9,4,2,on/off road
,,,,
137,00:00.9,4,2,on/off road
,,,,
138,00:00.9,4,2,on/off road
,,,,
139,00:00.9,4,2,on/off road
,,,,
141,00:01.0,6,3,on/off road
,,,,
142,00:01.0,6,3,on/off road
,,,,
143,66600:00:00,6,3,on/off road
,,,,
145,00:01.0,6,3,on/off road
,,,,
147,00:01.1,5,1,on/off road
,,,,
148,00:01.1,5,1,on/off road
,,,,
149,00:01.1,5,1,on/off road
,,,,
150,00:01.1,5,1,on/off road
,,,,
152,00:01.2,5,1,on/off road
,,,,
153,00:01.2,5,1,on/off road
,,,,
154,00:01.2,5,1,on/off road
,,,,
156,00:01.2,5,1,on/off road
,,,,
157,00:01.2,5,1,on/off road
,,,,
158,00:01.3,4,2,on/off road
,,,,
159,00:01.3,4,2,on/off road
,,,,
160,00:01.3,4,2,on/off road
,,,,
161,00:01.3,4,2,on/off road
,,,,
162,00:01.3,4,2,on/off road
,,,,
164,00:01.5,5,0,on/off road
,,,,
166,00:01.6,4,0,on/off road
,,,,
169,00:01.6,10,1,on/off road
,,,,
170,00:01.6,10,1,on/off road
,,,,
171,00:01.7,10,1,on/off road
,,,,
172,00:01.7,10,1,on/off road
,,,,
174,00:01.7,11,0,on/off road
,,,,
176,00:01.8,11,0,on/off road
,,,,
177,00:01.8,11,0,on/off road
,,,,
179,00:01.8,11,0,on/off road
,,,,
181,00:01.9,11,0,on/off road
,,,,
184,00:01.9,10,0,on/off road
,,,,
185,00:02.0,10,0,on/off road
,,,,
186,00:02.0,10,0,on/off road
,,,,
189,00:02.1,9,1,on/off road
,,,,
190,00:02.1,9,1,on/off road
,,,,
193,00:02.1,9,1,on/off road
,,,,
194,00:02.2,9,1,on/off road
,,,,
195,00:02.2,9,1,on/off road
,,,,
196,00:02.2,8,1,on/off road
,,,,
197,00:02.2,8,1,on/off road
,,,,
198,00:02.3,8,1,on/off road
,,,,
199,00:02.3,8,1,on/off road
,,,,
202,00:02.3,11,0,on/off road
,,,,
204,00:02.4,10,0,on/off road
,,,,
207,00:02.5,9,0,on/off road
,,,,
208,00:02.5,9,0,on/off road
,,,,
210,00:02.5,9,0,on/off road
,,,,
211,00:02.5,9,0,on/off road
,,,,
212,00:02.6,9,0,on/off road
,,,,
213,00:02.6,9,0,on/off road
,,,,
214,00:02.6,9,0,on/off road
,,,,
216,00:02.6,8,2,on/off road
,,,,
218,00:02.7,8,2,on/off road
,,,,
219,00:02.7,8,2,on/off road
,,,,
221,00:02.7,8,2,on/off road
,,,,
223,00:02.8,7,2,on/off road
,,,,
224,00:02.8,7,2,on/off road
,,,,
225,00:02.8,7,2,on/off road
,,,,
226,00:02.8,7,1,on/off road
,,,,
227,00:02.9,7,1,on/off road
,,,,
228,00:02.9,7,1,on/off road
,,,,
229,00:02.9,7,1,on/off road
,,,,
232,00:02.9,7,1,on/off road
,,,,
233,00:03.0,7,1,on/off road
,,,,
234,00:03.0,7,1,on/off road
,,,,
235,00:03.0,7,1,on/off road
,,,,
236,00:03.0,7,1,on/off road
,,,,
238,00:03.0,6,3,on/off road
,,,,
239,00:03.1,6,3,on/off road
,,,,
240,00:03.1,6,3,on/off road
,,,,
242,00:03.1,6,2,on/off road
,,,,
245,00:03.2,8,2,on/off road
,,,,
