sno,time,tv_count,tp_count,target_circle
0.0,00:00.0,9.0,0.0,___
91.0,00:02.0,9.0,0.0,___
92.0,00:02.0,9.0,0.0,___
93.0,00:02.0,9.0,0.0,___
94.0,00:02.0,9.0,0.0,___
97.0,00:02.1,7.0,0.0,on/off road
98.0,00:02.1,7.0,0.0,on/off road
99.0,00:02.1,7.0,0.0,on/off road
101.0,00:02.1,7.0,1.0,vehicle
102.0,00:02.2,8.0,0.0,vehicle
103.0,00:02.6,8.0,0.0,vehicle
105.0,00:02.7,5.0,0.0,on/off road
107.0,00:02.7,5.0,0.0,on/off road
108.0,00:02.8,5.0,0.0,on/off road
109.0,00:03.9,5.0,0.0,on/off road
110.0,00:03.9,6.0,0.0,on/off road
111.0,00:04.0,6.0,0.0,on/off road
112.0,00:04.0,6.0,0.0,on/off road
113.0,00:04.0,6.0,0.0,on/off road
114.0,00:04.0,6.0,0.0,on/off road
116.0,00:04.1,4.0,3.0,on/off road
117.0,00:04.1,4.0,3.0,on/off road
118.0,00:04.3,4.0,3.0,on/off road
120.0,00:04.4,5.0,2.0,on/off road
121.0,00:05.0,5.0,2.0,on/off road
122.0,00:08.1,5.0,2.0,on/off road
123.0,00:08.9,5.0,2.0,on/off road
125.0,00:09.0,3.0,3.0,___
126.0,00:09.0,3.0,3.0,___
127.0,00:10.6,3.0,3.0,___
128.0,00:10.7,3.0,3.0,___
130.0,00:12.8,4.0,0.0,on/off road
131.0,00:14.2,4.0,0.0,on/off road
133.0,00:14.5,4.0,0.0,on/off road
135.0,00:16.1,8.0,0.0,on/off road
136.0,00:16.2,8.0,0.0,on/off road
138.0,00:16.3,5.0,1.0,vehicle
141.0,00:16.3,5.0,1.0,on/off road
142.0,00:17.4,5.0,1.0,on/off road
144.0,00:18.7,5.0,1.0,on/off road
147.0,00:21.3,4.0,3.0,on/off road
148.0,00:21.3,4.0,3.0,on/off road
149.0,00:21.4,4.0,3.0,on/off road
152.0,00:22.0,6.0,2.0,on/off road
153.0,00:22.1,6.0,2.0,on/off road
154.0,00:22.2,6.0,2.0,on/off road
155.0,00:22.3,6.0,2.0,on/off road
157.0,00:23.8,3.0,1.0,on/off road
158.0,00:0025.605,3.0,1.0,on/off road
159.0,00:25.6,3.0,1.0,on/off road
162.0,00:30.5,3.0,2.0,on/off road
163.0,00:30.7,3.0,2.0,on/off road
164.0,00:30.9,3.0,2.0,on/off road
166.0,00:33.3,1.0,0.0,on/off road
168.0,00:36.0,2.0,0.0,on/off road
170.0,00:36.0,2.0,0.0,on/off road
173.0,00:36.1,4.0,0.0,on/off road
174.0,00:36.3,4.0,0.0,on/off road
175.0,00:36.3,4.0,0.0,on/off road
178.0,00:36.4,2.0,0.0,on/off road
180.0,00:36.4,2.0,0.0,on/off road
181.0,00:36.4,2.0,0.0,on/off road
184.0,00:36.5,2.0,0.0,on/off road
186.0,00:36.5,2.0,0.0,on/off road
190.0,00:36.5,2.0,0.0,on/off road
191.0,00:38.1,2.0,0.0,on/off road
192.0,00:38.2,2.0,0.0,on/off road
194.0,00:38.2,2.0,1.0,on/off road
195.0,00:39.3,2.0,1.0,on/off road
196.0,00:39.5,2.0,1.0,on/off road
197.0,00:39.6,2.0,1.0,on/off road
200.0,00:39.6,0.0,1.0,on/off road
201.0,00:39.7,0.0,1.0,on/off road
202.0,00:39.7,0.0,1.0,on/off road
204.0,00:39.8,1.0,1.0,on/off road
205.0,00:40.0,1.0,1.0,on/off road
206.0,00:40.1,1.0,1.0,on/off road
209.0,00:41.8,1.0,1.0,___
211.0,00:41.9,1.0,1.0,___
214.0,00:42.1,1.0,0.0,on/off road
215.0,00:42.2,1.0,0.0,on/off road
217.0,00:42.2,1.0,0.0,on/off road
219.0,00:42.2,1.0,0.0,on/off road
221.0,00:42.3,2.0,0.0,on/off road
222.0,00:42.3,2.0,0.0,on/off road
223.0,00:42.3,2.0,0.0,on/off road
226.0,00:42.4,1.0,0.0,on/off road
227.0,00:42.4,1.0,0.0,on/off road
228.0,00:42.4,1.0,0.0,on/off road
231.0,00:42.5,1.0,0.0,on/off road
232.0,00:42.5,1.0,0.0,on/off road
233.0,00:42.6,1.0,0.0,on/off road
236.0,00:42.7,2.0,0.0,on/off road
237.0,00:42.9,2.0,0.0,on/off road
239.0,00:42.9,2.0,0.0,on/off road
241.0,00:43.1,2.0,0.0,on/off road
242.0,00:43.3,2.0,0.0,___
245.0,00:43.4,3.0,0.0,on/off road
246.0,00:43.4,3.0,0.0,on/off road
247.0,00:43.5,3.0,0.0,on/off road
249.0,00:43.5,2.0,0.0,on/off road
251.0,00:43.6,3.0,0.0,on/off road
253.0,00:43.6,3.0,0.0,on/off road
255.0,00:43.8,4.0,0.0,on/off road
257.0,00:43.8,1.0,0.0,on/off road
258.0,00:43.9,1.0,0.0,on/off road
260.0,00:43.9,1.0,0.0,on/off road
263.0,00:44.0,1.0,0.0,on/off road
265.0,00:44.1,2.0,0.0,on/off road
267.0,00:44.2,2.0,0.0,on/off road
268.0,00:44.2,2.0,0.0,on/off road
269.0,00:44.3,2.0,0.0,on/off road
270.0,00:44.4,2.0,0.0,on/off road
272.0,00:44.4,2.0,0.0,on/off road
273.0,00:44.5,2.0,0.0,on/off road
274.0,00:44.5,2.0,0.0,on/off road
277.0,00:44.6,3.0,0.0,on/off road
278.0,00:44.7,3.0,0.0,on/off road
280.0,00:44.7,3.0,0.0,on/off road
281.0,00:44.7,3.0,0.0,on/off road
282.0,00:44.8,3.0,0.0,on/off road
284.0,00:44.8,3.0,0.0,on/off road
286.0,00:44.8,3.0,0.0,on/off road
287.0,00:44.9,2.0,0.0,on/off road
290.0,00:44.9,3.0,0.0,on/off road
291.0,00:44.9,3.0,0.0,on/off road
292.0,00:45.0,3.0,0.0,on/off road
293.0,00:45.0,3.0,0.0,on/off road
295.0,00:45.0,2.0,0.0,on/off road
296.0,00:45.1,2.0,0.0,on/off road
297.0,00:45.1,2.0,0.0,on/off road
301.0,00:45.2,2.0,0.0,on/off road
302.0,00:45.2,2.0,0.0,on/off road
304.0,00:45.2,2.0,0.0,on/off road
305.0,00:45.3,2.0,0.0,on/off road
306.0,00:45.4,2.0,0.0,on/off road
308.0,00:45.4,2.0,0.0,on/off road
310.0,00:45.6,2.0,0.0,on/off road
312.0,00:45.7,3.0,0.0,on/off road
313.0,00:45.8,3.0,0.0,on/off road
314.0,00:45.9,3.0,0.0,on/off road
315.0,00:46.0,3.0,0.0,on/off road
316.0,00:46.0,3.0,0.0,on/off road
318.0,00:46.1,1.0,0.0,on/off road
320.0,00:46.2,1.0,1.0,on/off road
321.0,00:46.2,1.0,1.0,on/off road
324.0,00:46.2,2.0,0.0,on/off road
325.0,00:46.3,2.0,0.0,on/off road
326.0,00:46.3,2.0,0.0,on/off road
328.0,00:46.4,2.0,0.0,on/off road
330.0,00:47.0,2.0,0.0,on/off road
331.0,00:47.1,2.0,0.0,on/off road
333.0,00:47.2,2.0,0.0,on/off road
335.0,00:47.3,4.0,0.0,on/off road
336.0,00:47.3,4.0,0.0,on/off road
338.0,00:47.4,4.0,1.0,on/off road
339.0,00:47.4,4.0,1.0,on/off road
340.0,00:47.4,4.0,1.0,on/off road
343.0,00:47.5,4.0,1.0,on/off road
344.0,00:47.5,4.0,1.0,on/off road
346.0,00:47.5,4.0,1.0,on/off road
347.0,00:47.6,3.0,1.0,on/off road
348.0,00:47.6,3.0,1.0,on/off road
350.0,00:47.6,3.0,1.0,on/off road
353.0,00:47.7,4.0,0.0,on/off road
354.0,00:47.7,4.0,0.0,on/off road
357.0,00:47.8,4.0,0.0,on/off road
358.0,00:47.8,4.0,0.0,on/off road
360.0,00:47.8,4.0,0.0,on/off road
363.0,00:47.9,3.0,0.0,on/off road
364.0,00:47.9,3.0,0.0,on/off road
366.0,00:48.0,3.0,0.0,on/off road
369.0,00:48.0,3.0,1.0,on/off road
370.0,00:48.0,3.0,1.0,on/off road
371.0,00:48.1,3.0,1.0,on/off road
373.0,00:48.2,3.0,1.0,on/off road
374.0,00:48.3,3.0,1.0,on/off road
376.0,00:48.3,2.0,1.0,on/off road
378.0,00:48.3,2.0,1.0,on/off road
379.0,00:48.4,2.0,1.0,on/off road
380.0,00:48.4,2.0,1.0,on/off road
384.0,00:48.4,2.0,2.0,on/off road
385.0,00:48.5,2.0,2.0,on/off road
388.0,00:48.5,2.0,1.0,on/off road
389.0,00:48.6,2.0,1.0,on/off road
391.0,00:48.6,3.0,1.0,on/off road
393.0,00:48.7,3.0,1.0,on/off road
394.0,00:48.7,3.0,1.0,on/off road
396.0,00:48.7,3.0,1.0,on/off road
397.0,00:48.8,4.0,1.0,on/off road
400.0,00:48.8,3.0,1.0,on/off road
402.0,00:48.9,3.0,1.0,on/off road
405.0,00:49.0,4.0,1.0,on/off road
407.0,00:49.0,4.0,1.0,on/off road
410.0,00:49.0,2.0,1.0,on/off road
411.0,00:49.0,2.0,1.0,on/off road
412.0,00:49.1,2.0,1.0,on/off road
417.0,00:49.2,2.0,1.0,on/off road
418.0,00:49.2,2.0,1.0,on/off road
421.0,00:49.3,2.0,0.0,on/off road
424.0,00:49.3,1.0,2.0,on/off road
426.0,00:49.3,1.0,2.0,on/off road
427.0,00:49.4,1.0,2.0,on/off road
430.0,00:49.4,1.0,3.0,on/off road
431.0,00:49.5,1.0,3.0,on/off road
432.0,00:49.5,1.0,3.0,on/off road
435.0,00:49.5,3.0,2.0,on/off road
436.0,00:49.5,3.0,2.0,on/off road
437.0,00:49.6,3.0,2.0,on/off road
440.0,00:49.6,2.0,2.0,on/off road
441.0,00:49.7,2.0,2.0,on/off road
442.0,00:49.7,2.0,2.0,on/off road
444.0,00:49.7,1.0,2.0,on/off road
445.0,00:49.7,1.0,2.0,on/off road
447.0,00:49.8,1.0,2.0,on/off road
451.0,00:49.9,3.0,3.0,on/off road
453.0,00:49.9,3.0,3.0,on/off road
454.0,00:49.9,3.0,3.0,on/off road
456.0,00:50.0,3.0,3.0,on/off road
460.0,00:50.0,3.0,3.0,on/off road
461.0,00:50.0,3.0,2.0,on/off road
462.0,00:50.1,3.0,2.0,on/off road
463.0,00:50.1,3.0,2.0,on/off road
465.0,00:50.2,3.0,3.0,on/off road
469.0,00:50.2,0.0,2.0,on/off road
470.0,00:50.3,0.0,2.0,on/off road
471.0,00:50.3,0.0,2.0,on/off road
473.0,00:50.3,0.0,2.0,on/off road
474.0,00:50.4,0.0,2.0,on/off road
476.0,00:50.4,0.0,2.0,on/off road
478.0,00:50.5,0.0,2.0,on/off road
480.0,00:50.5,0.0,2.0,on/off road
481.0,00:50.5,0.0,2.0,on/off road
482.0,00:50.5,0.0,2.0,on/off road
483.0,00:50.6,0.0,2.0,on/off road
484.0,00:50.6,0.0,2.0,on/off road
488.0,00:50.7,3.0,2.0,on/off road
489.0,00:50.7,3.0,2.0,on/off road
493.0,00:50.7,3.0,2.0,on/off road
494.0,00:50.8,3.0,2.0,on/off road
495.0,00:50.8,3.0,2.0,on/off road
497.0,00:50.8,2.0,2.0,on/off road
498.0,00:50.9,2.0,2.0,on/off road
500.0,00:50.9,2.0,2.0,on/off road
502.0,00:50.9,3.0,0.0,on/off road
503.0,00:50.9,3.0,0.0,on/off road
504.0,00:51.0,3.0,0.0,on/off road
505.0,00:51.0,3.0,0.0,on/off road
506.0,00:51.0,3.0,0.0,on/off road
509.0,00:51.0,4.0,0.0,on/off road
511.0,00:51.1,4.0,0.0,on/off road
514.0,00:51.1,3.0,0.0,on/off road
515.0,00:51.2,3.0,0.0,on/off road
518.0,00:51.3,4.0,0.0,on/off road
520.0,00:51.3,4.0,0.0,on/off road
524.0,00:51.4,5.0,0.0,on/off road
527.0,00:51.5,3.0,0.0,on/off road
528.0,00:51.5,3.0,0.0,on/off road
532.0,00:51.5,3.0,1.0,on/off road
533.0,00:51.6,3.0,1.0,on/off road
535.0,00:51.6,3.0,2.0,on/off road
536.0,00:51.7,3.0,2.0,on/off road
538.0,00:51.7,3.0,2.0,on/off road
542.0,00:51.8,5.0,1.0,on/off road
543.0,00:51.8,5.0,1.0,on/off road
546.0,00:51.8,2.0,0.0,on/off road
548.0,00:51.9,2.0,0.0,on/off road
549.0,00:51.9,2.0,0.0,on/off road
553.0,00:52.0,4.0,2.0,on/off road
554.0,00:52.1,4.0,2.0,on/off road
555.0,00:52.1,4.0,2.0,on/off road
558.0,00:52.1,4.0,2.0,on/off road
559.0,00:52.2,4.0,2.0,on/off road
560.0,00:52.2,4.0,2.0,on/off road
563.0,00:52.2,4.0,0.0,on/off road
564.0,00:52.3,4.0,0.0,on/off road
565.0,00:52.3,4.0,0.0,on/off road
567.0,00:52.3,2.0,3.0,on/off road
568.0,00:52.4,2.0,3.0,on/off road
569.0,00:52.4,2.0,3.0,on/off road
571.0,00:52.4,2.0,3.0,on/off road
573.0,00:52.5,2.0,2.0,on/off road
574.0,00:52.5,2.0,2.0,on/off road
577.0,00:52.6,2.0,2.0,on/off road
578.0,00:52.6,2.0,2.0,on/off road
579.0,00:52.6,2.0,3.0,on/off road
581.0,00:52.6,2.0,4.0,on/off road
582.0,00:52.7,2.0,4.0,on/off road
583.0,00:52.7,2.0,4.0,on/off road
584.0,00:52.7,2.0,4.0,on/off road
586.0,00:52.8,2.0,2.0,on/off road
587.0,00:52.8,2.0,2.0,on/off road
