0,1,2,3,4
0,00:00:00.005,8,0,on/off road
104,00:00:00.020,8,0,on/off road
106,00:00:00.040,8,0,on/off road
108,00:00:00.080,8,0,on/off road
109,00:00:00.100,10,0,on/off road
112,00:00:00.160,10,0,on/off road
113,00:00:00.180,10,0,on/off road
114,00:00:00.200,10,0,on/off road
117,00:00:00.240,10,1,on/off road
118,00:00:00.260,10,1,on/off road
119,00:00:00.280,10,1,on/off road
120,00:00:00.300,10,1,on/off road
123,00:00:00.340,7,2,on/off road
124,00:00:00.360,7,2,on/off road
126,00:00:00.400,7,2,on/off road
129,00:00:00.440,8,0,on/off road
130,00:00:00.480,8,0,on/off road
131,00:00:00.500,8,0,on/off road
132,00:00:00.520,8,1,on/off road
133,00:00:00.540,8,1,on/off road
134,00:00:00.560,8,1,on/off road
135,00:00:00.580,8,1,on/off road
136,00:00:00.600,8,1,on/off road
139,00:00:00.680,7,2,vehicle
141,00:00:00.720,7,2,vehicle
143,00:00:00.760,7,1,on/off road
145,00:00:00.780,6,1,on/off road
146,00:00:00.799,6,1,on/off road
147,00:00:00.819,6,1,on/off road
149,00:00:00.839,6,1,on/off road
150,00:00:00.859,6,1,on/off road
152,00:00:00.899,6,1,on/off road
153,00:00:00.919,6,1,on/off road
156,00:00:00.939,7,2,vehicle
157,66600:00:00,7,2,vehicle
159,00:00:01.019,7,2,vehicle
161,00:00:01.039,7,1,on/off road
162,00:00:01.079,7,1,on/off road
164,00:00:01.139,7,1,on/off road
166,00:00:01.179,7,1,on/off road
167,00:00:01.199,7,1,on/off road
168,00:00:01.219,7,1,on/off road
169,00:00:01.239,7,1,on/off road
171,00:00:01.299,7,1,on/off road
173,00:00:01.319,7,1,on/off road
174,00:00:01.339,8,1,on/off road
176,00:00:01.419,9,1,on/off road
178,00:00:01.439,9,1,on/off road
182,00:00:01.499,8,2,on/off road
183,00:00:01.539,8,2,on/off road
186,00:00:01.559,9,0,on/off road
187,00:00:01.619,9,0,on/off road
188,00:00:01.639,9,0,on/off road
191,00:00:01.699,7,1,on/off road
193,00:00:01.739,7,1,on/off road
196,00:00:01.799,7,2,on/off road
197,00:00:01.819,7,2,on/off road
198,00:00:01.839,7,2,on/off road
201,00:00:01.879,7,1,on/off road
202,00:00:01.899,7,1,on/off road
203,00:00:01.919,7,1,on/off road
204,00:00:01.939,7,1,on/off road
207,00:00:01.999,9,1,on/off road
209,00:00:02.039,10,1,on/off road
212,00:00:02.139,11,0,on/off road
214,00:00:02.159,11,0,on/off road
215,00:00:02.179,11,0,on/off road
218,00:00:02.239,10,0,vehicle
220,00:00:02.279,10,0,vehicle
223,00:00:02.379,6,0,on/off road
224,00:00:02.399,6,0,on/off road
227,00:00:02.458,7,0,vehicle
228,00:00:02.498,7,0,vehicle
229,00:00:02.518,7,0,vehicle
232,00:00:02.538,6,0,vehicle
233,00:00:02.578,6,0,vehicle
235,00:00:02.618,6,0,vehicle
238,00:00:02.638,5,0,on/off road
239,00:00:02.678,5,0,on/off road
240,00:00:02.698,5,0,on/off road
241,00:00:02.718,4,0,on/off road
244,00:00:02.798,4,0,on/off road
245,00:00:02.818,4,0,on/off road
249,00:00:02.898,5,0,on/off road
250,00:00:02.918,5,0,on/off road
252,00:00:02.958,5,0,on/off road
254,00:00:03.018,5,0,on/off road
257,00:00:03.078,6,0,vehicle
259,00:00:03.118,6,0,vehicle
261,00:00:03.138,6,0,vehicle
262,00:00:03.178,6,0,vehicle
263,00:00:03.198,6,0,vehicle
264,00:00:03.218,6,0,vehicle
267,00:00:03.278,6,0,vehicle
268,00:00:03.318,6,0,vehicle
272,00:00:03.418,6,0,on/off road
273,00:00:03.458,6,0,on/off road
274,00:00:03.478,6,0,on/off road
278,00:00:03.558,5,0,on/off road
279,00:00:03.578,5,0,on/off road
282,00:00:03.598,5,0,on/off road
283,00:00:03.678,5,0,on/off road
286,00:00:03.698,6,0,on/off road
287,00:00:03.738,6,0,on/off road
288,00:00:03.758,6,0,on/off road
290,00:00:03.778,5,0,on/off road
292,00:00:03.798,5,0,on/off road
293,00:00:03.818,5,0,on/off road
294,00:00:03.858,5,0,on/off road
295,00:00:03.898,5,0,on/off road
298,00:00:03.938,6,0,on/off road
299,00:00:03.998,6,0,on/off road
302,00:00:04.018,5,0,on/off road
303,00:00:04.038,5,0,on/off road
304,00:00:04.058,4,0,on/off road
305,00:00:04.077,5,0,on/off road
306,00:00:04.097,5,0,on/off road
309,00:00:04.117,5,0,on/off road
310,00:00:04.177,5,0,on/off road
311,00:00:04.197,5,0,on/off road
313,00:00:04.237,6,0,on/off road
316,00:00:04.257,5,0,on/off road
317,00:00:04.297,5,0,on/off road
322,00:00:04.397,4,2,on/off road
324,00:00:04.417,4,2,on/off road
325,00:00:04.457,4,2,on/off road
326,00:00:04.497,4,2,on/off road
329,00:00:04.577,5,2,on/off road
330,00:00:04.597,5,2,on/off road
334,00:00:04.677,5,1,vehicle
335,00:00:04.697,5,1,vehicle
339,00:00:04.797,6,1,vehicle
342,00:00:04.837,7,2,on/off road
343,00:00:04.857,7,2,on/off road
344,00:00:04.877,7,2,on/off road
346,00:00:04.897,7,2,on/off road
349,00:00:04.957,6,2,on/off road
351,00:00:04.977,6,2,on/off road
353,00:00:04.997,6,2,on/off road
355,00:00:05.017,7,2,vehicle
356,00:00:05.057,7,2,vehicle
358,00:00:05.077,7,2,vehicle
359,00:00:05.097,7,2,vehicle
361,00:00:05.137,7,2,vehicle
362,00:00:05.177,7,2,vehicle
363,00:00:05.197,7,2,vehicle
366,00:00:05.217,7,1,vehicle
367,00:00:05.297,7,1,vehicle
369,00:00:05.377,7,1,vehicle
371,00:00:05.397,7,1,vehicle
374,00:00:05.457,7,2,vehicle
375,00:00:05.477,7,2,vehicle
376,00:00:05.497,7,2,vehicle
379,00:00:05.557,7,2,vehicle
380,00:00:05.577,8,1,vehicle
381,00:00:05.597,8,1,vehicle
383,00:00:05.617,6,2,vehicle
384,00:00:05.637,6,2,vehicle
386,00:00:05.657,7,2,vehicle
388,00:00:05.696,7,2,vehicle
390,00:00:05.716,8,1,vehicle
391,00:00:05.776,8,1,vehicle
392,00:00:05.796,8,1,vehicle
394,00:00:05.816,7,1,vehicle
395,00:00:05.876,7,1,vehicle
396,00:00:05.896,7,1,vehicle
399,00:00:05.936,7,0,vehicle
400,00:00:05.976,7,0,vehicle
401,00:00:05.996,7,0,vehicle
403,00:00:06.036,7,0,vehicle
404,00:00:06.076,7,0,vehicle
405,00:00:06.096,7,0,vehicle
409,00:00:06.156,7,1,vehicle
411,00:00:06.176,7,1,vehicle
413,00:00:06.196,6,1,vehicle
415,00:00:06.216,6,1,vehicle
416,00:00:06.256,6,1,vehicle
417,00:00:06.276,6,1,vehicle
419,00:00:06.296,6,1,vehicle
423,00:00:06.376,7,1,vehicle
424,00:00:06.396,7,1,vehicle
427,00:00:06.456,6,1,vehicle
428,00:00:06.476,6,1,vehicle
429,00:00:06.496,6,1,vehicle
432,00:00:06.556,6,1,vehicle
433,00:00:06.596,5,1,vehicle
436,00:00:06.636,6,1,vehicle
437,00:00:06.656,6,1,vehicle
439,00:00:06.696,6,1,vehicle
442,00:00:06.756,6,1,vehicle
443,00:00:06.776,6,1,vehicle
444,00:00:06.796,5,1,vehicle
447,00:00:06.836,5,2,vehicle
448,00:00:06.876,5,2,vehicle
449,00:00:06.896,5,2,vehicle
451,00:00:06.936,5,2,vehicle
453,00:00:06.976,5,2,vehicle
454,00:00:06.996,5,2,vehicle
457,00:00:07.056,3,1,vehicle
458,00:00:07.096,3,1,vehicle
461,00:00:07.116,3,0,vehicle
462,00:00:07.176,3,0,vehicle
463,00:00:07.196,3,0,vehicle
467,00:00:07.276,4,0,vehicle
468,00:00:07.296,4,0,vehicle
471,00:00:07.355,4,0,vehicle
472,00:00:07.375,4,0,vehicle
474,00:00:07.395,4,0,vehicle
477,00:00:07.475,4,0,on/off road
479,00:00:07.495,4,0,on/off road
482,00:00:07.555,4,0,vehicle
483,00:00:07.595,4,0,vehicle
486,00:00:07.615,4,0,on/off road
487,00:00:07.675,4,0,on/off road
488,00:00:07.695,4,0,on/off road
492,00:00:07.735,5,0,on/off road
493,00:00:07.775,5,0,on/off road
494,00:00:07.795,5,0,on/off road
495,00:00:07.815,5,0,on/off road
496,00:00:07.835,5,0,on/off road
497,00:00:07.855,5,0,on/off road
498,00:00:07.875,5,0,on/off road
499,00:00:07.895,5,0,on/off road
502,00:00:07.915,6,0,on/off road
503,00:00:07.995,6,0,on/off road
508,00:00:08.075,6,0,on/off road
509,00:00:08.095,6,0,on/off road
512,00:00:08.155,4,1,on/off road
513,00:00:08.195,4,1,on/off road
515,00:00:08.215,6,0,vehicle
516,00:00:08.235,6,0,vehicle
518,00:00:08.275,6,0,vehicle
519,00:00:08.295,6,0,vehicle
522,00:00:08.355,7,0,vehicle
523,00:00:08.395,7,0,vehicle
526,00:00:08.435,7,0,vehicle
527,00:00:08.455,7,0,vehicle
529,00:00:08.495,7,0,vehicle
531,00:00:08.515,6,0,on/off road
532,00:00:08.575,6,0,on/off road
533,00:00:08.595,6,0,on/off road
536,00:00:08.635,5,0,on/off road
538,00:00:08.675,5,0,on/off road
539,00:00:08.695,5,0,on/off road
543,00:00:08.775,6,0,on/off road
545,00:00:08.795,6,0,on/off road
547,00:00:08.875,6,1,on/off road
548,00:00:08.895,6,1,on/off road
551,00:00:08.974,6,0,on/off road
552,00:00:08.994,6,0,on/off road
554,00:00:09.034,6,0,on/off road
558,00:00:09.114,5,1,vehicle
559,00:00:09.134,5,1,vehicle
562,00:00:09.154,5,1,vehicle
564,00:00:09.174,5,1,vehicle
565,00:00:09.214,5,1,vehicle
567,00:00:09.234,5,0,vehicle
569,00:00:09.294,5,0,vehicle
570,00:00:09.314,5,0,vehicle
572,00:00:09.334,5,0,vehicle
573,00:00:09.374,5,0,vehicle
574,00:00:09.394,5,0,vehicle
575,00:00:09.434,5,0,vehicle
579,00:00:09.474,4,3,on/off road
580,00:00:09.494,4,3,on/off road
582,00:00:09.534,4,3,on/off road
584,00:00:09.554,4,3,on/off road
586,00:00:09.594,4,3,on/off road
587,00:00:09.614,4,3,on/off road
588,00:00:09.634,4,3,on/off road
591,00:00:09.694,5,1,on/off road
592,00:00:09.714,5,1,on/off road
593,00:00:09.754,5,1,on/off road
594,00:00:09.794,5,1,on/off road
595,00:00:09.814,5,1,on/off road
596,00:00:09.834,5,1,on/off road
598,00:00:09.854,5,1,on/off road
600,00:00:09.874,5,2,vehicle
601,00:00:09.914,5,2,vehicle
603,00:00:09.954,5,2,vehicle
606,00:00:09.974,5,3,vehicle
607,00:00:10.054,6,3,vehicle
610,00:00:10.094,5,3,vehicle
611,00:00:10.114,5,3,vehicle
613,00:00:10.154,5,3,vehicle
615,00:00:10.194,6,4,on/off road
616,00:00:10.234,6,4,on/off road
618,00:00:10.254,6,4,on/off road
620,00:00:10.294,5,4,on/off road
621,00:00:10.334,5,4,on/off road
623,00:00:10.354,5,4,on/off road
626,00:00:10.394,6,2,vehicle
627,00:00:10.414,6,2,vehicle
628,00:00:10.434,6,2,vehicle
630,00:00:10.454,6,2,on/off road
632,00:00:10.474,6,2,on/off road
633,00:00:10.534,6,2,on/off road
